Timestamp(ms),isGoodSignal,filteredIntensity,rrIntervals_count,medianRrMs,rawBpm,filteredBpm
11,true,-3.674971081846465,7,900.0,66.66666666666667,66.65303234072138
46,true,-3.6549017476181973,7,900.0,66.66666666666667,66.65439577331591
76,true,-3.6229960189827892,7,900.0,66.66666666666667,66.65562286265099
111,true,-3.5957331336801417,7,900.0,66.66666666666667,66.65672724305256
142,true,-3.5812449732453473,7,900.0,66.66666666666667,66.65772118541398
178,true,-3.5411714482535075,7,900.0,66.66666666666667,66.65861573353925
211,true,-3.460506742910141,7,900.0,66.66666666666667,66.659420826852
245,true,-3.3762992039647344,7,900.0,66.66666666666667,66.66014541083347
276,true,-3.272052361413799,7,900.0,66.66666666666667,66.6607975364168
312,true,-3.16381374004294,7,900.0,66.66666666666667,66.66138444944178
342,true,-3.0626879479377322,7,900.0,66.66666666666667,66.66191267116427
380,true,-2.9627040921400294,7,900.0,66.66666666666667,66.66238807071451
411,true,-2.874142173615695,7,900.0,66.66666666666667,66.66281593030973
445,true,-2.8050030107926744,7,900.0,66.66666666666667,66.66320100394543
476,true,-2.741544778412134,7,900.0,66.66666666666667,66.66354757021756
512,true,-2.664348369454615,7,900.0,66.66666666666667,66.66385947986247
543,true,-2.590426781575772,7,900.0,66.66666666666667,66.6641401985429
580,true,-2.5190009792038808,7,900.0,66.66666666666667,66.66439284535528
613,true,-2.5183488257695785,7,900.0,66.66666666666667,66.66462022748642
647,true,-2.644920577939942,7,900.0,66.66666666666667,66.66482487140445
683,true,-2.8401285305868385,7,900.0,66.66666666666667,66.66500905093068
712,true,-3.068616854148189,7,900.0,66.66666666666667,66.66517481250428
745,true,-3.3037857046038113,7,900.0,66.66666666666667,66.66532399792052
796,true,-3.4661436267615215,7,900.0,66.66666666666667,66.66545826479513
810,true,-3.508419147785432,7,900.0,66.66666666666667,66.66557910498229
853,true,-3.4973429169441914,7,900.0,66.66666666666667,66.66568786115073
881,true,-3.4502076177590197,7,900.0,66.66666666666667,66.66578574170232
916,true,-3.406204315410207,7,900.0,66.66666666666667,66.66587383419876
949,true,-3.3785772890589953,7,900.0,66.66666666666667,66.66595311744555
984,true,-3.343731741254203,7,900.0,66.66666666666667,66.66602447236767
1011,true,-3.299820292319822,7,900.0,66.66666666666667,66.66608869179757
1053,true,-3.2537078631726644,7,900.0,66.66666666666667,66.66614648928449
1090,true,-3.1849943312540177,7,900.0,66.66666666666667,66.66619850702271
1116,true,-3.0972273914282624,7,900.0,66.66666666666667,66.66624532298711
1192,true,-3.010828335435889,7,900.0,66.66666666666667,66.66628745735507
1214,true,-2.937236046963946,7,900.0,66.66666666666667,66.66632537828623
1292,true,-2.8749108445328773,7,900.0,66.66666666666667,66.66635950712428
1314,true,-2.823356472279073,7,900.0,66.66666666666667,66.66639022307852
