Timestamp(ms),isGoodSignal,filteredIntensity,rrIntervals_count,medianRrMs,rawBpm,filteredBpm
9,true,-0.5467994879078901,0,0.0,0.0,0.0
45,true,-0.6145623475076434,0,0.0,0.0,0.0
81,true,-0.660216214495307,0,0.0,0.0,0.0
111,true,-0.6803674842041403,0,0.0,0.0,0.0
145,true,-0.6240148385746238,0,0.0,0.0,0.0
177,true,-0.5809471300549944,0,0.0,0.0,0.0
209,true,-0.5493548498699852,0,0.0,0.0,0.0
244,true,-0.551854379835703,0,0.0,0.0,0.0
281,true,-0.5534468077789825,0,0.0,0.0,0.0
311,true,-0.49334686386217186,0,0.0,0.0,0.0
343,true,-0.42551025884850446,0,0.0,0.0,0.0
379,true,-0.33813421852030956,0,0.0,0.0,0.0
411,true,-0.23400867336081888,0,0.0,0.0,0.0
445,true,-0.10270478007120687,0,0.0,0.0,0.0
477,true,-0.030897167095190525,0,0.0,0.0,0.0
511,true,-0.02696613815857063,0,0.0,0.0,0.0
549,true,-0.1275333995548067,1,766.6666666666667,78.26086956521738,0.0
582,true,-0.3327601321126963,1,766.6666666666667,78.26086956521738,0.0
615,true,-0.5921412208094807,1,766.6666666666667,78.26086956521738,0.0
645,true,-0.8823592655864445,1,766.6666666666667,78.26086956521738,0.0
682,true,-1.1083313274202453,1,766.6666666666667,78.26086956521738,0.0
712,true,-1.2670429112393151,1,766.6666666666667,78.26086956521738,0.0
751,true,-1.3069546823700762,1,766.6666666666667,78.26086956521738,0.0
780,true,-1.3105545967421506,1,766.6666666666667,78.26086956521738,0.0
814,true,-1.2640704267001581,1,766.6666666666667,78.26086956521738,0.0
848,true,-1.2146260082997173,1,766.6666666666667,78.26086956521738,0.0
878,true,-1.1300282994498332,1,766.6666666666667,78.26086956521738,0.0
916,true,-1.051273189998227,1,766.6666666666667,78.26086956521738,0.0
950,true,-0.9774935918277947,1,766.6666666666667,78.26086956521738,0.0
981,true,-0.9139033629429605,1,766.6666666666667,78.26086956521738,0.0
1017,true,-0.8390051885961043,1,766.6666666666667,78.26086956521738,0.0
1054,true,-0.7537355141039086,1,766.6666666666667,78.26086956521738,0.0
1077,true,-0.6653645991361259,1,766.6666666666667,78.26086956521738,0.0
1110,true,-0.5634040664180588,1,766.6666666666667,78.26086956521738,0.0
1147,true,-0.45464821746060124,1,766.6666666666667,78.26086956521738,0.0
1179,true,-0.33984968670603166,1,766.6666666666667,78.26086956521738,0.0
1211,true,-0.2459119004216177,1,766.6666666666667,78.26086956521738,0.0
1245,true,-0.213150962070074,1,766.6666666666667,78.26086956521738,0.0
1280,true,-0.33841577125431854,2,766.6666666666667,78.26086956521738,0.0
1340,true,-0.466692722851775,2,766.6666666666667,78.26086956521738,0.0
1347,true,-0.6536760006653424,2,766.6666666666667,78.26086956521738,0.0
1381,true,-0.9174622425885275,2,766.6666666666667,78.26086956521738,0.0
1413,true,-1.1315211324220797,2,766.6666666666667,78.26086956521738,0.0
1446,true,-1.2269322594903826,2,766.6666666666667,78.26086956521738,0.0
1480,true,-1.3347809094425145,2,766.6666666666667,78.26086956521738,0.0
1513,true,-1.3669754363755544,2,766.6666666666667,78.26086956521738,0.0
1545,true,-1.3053885846516096,2,766.6666666666667,78.26086956521738,0.0
1580,true,-1.2920674941065613,2,766.6666666666667,78.26086956521738,0.0
1614,true,-1.2425842481772804,2,766.6666666666667,78.26086956521738,0.0
1650,true,-1.1484306050714395,2,766.6666666666667,78.26086956521738,0.0
1684,true,-1.0944120855641017,2,766.6666666666667,78.26086956521738,0.0
1723,true,-1.053082886013243,2,766.6666666666667,78.26086956521738,0.0
1753,true,-0.9618348313899787,2,766.6666666666667,78.26086956521738,0.0
1792,true,-0.9335692656685239,2,766.6666666666667,78.26086956521738,0.0
1848,true,-0.955083535128324,3,733.3333333333333,81.81818181818183,0.0
1885,true,-0.9624443846907695,3,733.3333333333333,81.81818181818183,0.0
1926,true,-0.9652275113630537,3,733.3333333333333,81.81818181818183,0.0
1952,true,-1.021096565915201,3,733.3333333333333,81.81818181818183,0.0
1982,true,-1.0880250991525884,3,733.3333333333333,81.81818181818183,0.0
2015,true,-1.206011156398887,3,733.3333333333333,81.81818181818183,0.0
2045,true,-1.3664731006353747,3,733.3333333333333,81.81818181818183,0.0
2082,true,-1.5249109168366601,3,733.3333333333333,81.81818181818183,0.0
2113,true,-1.62584476225544,3,733.3333333333333,81.81818181818183,0.0
2151,true,-1.7348217484491215,3,733.3333333333333,81.81818181818183,0.0
2178,true,-1.8165647118506172,3,733.3333333333333,81.81818181818183,0.0
2211,true,-1.8899315868146118,3,733.3333333333333,81.81818181818183,0.0
2244,true,-1.966802012753277,3,733.3333333333333,81.81818181818183,0.0
2283,true,-2.0469789467190935,3,733.3333333333333,81.81818181818183,0.0
2312,true,-2.047437199803653,3,733.3333333333333,81.81818181818183,0.0
2348,true,-2.0276693192163577,3,733.3333333333333,81.81818181818183,0.0
2377,true,-1.9960389540030121,3,733.3333333333333,81.81818181818183,0.0
2410,true,-1.9676498641204603,3,733.3333333333333,81.81818181818183,0.0
2448,true,-1.939495635134847,3,733.3333333333333,81.81818181818183,0.0
2480,true,-1.9121532689669891,3,733.3333333333333,81.81818181818183,0.0
2511,true,-1.8927934798828971,3,733.3333333333333,81.81818181818183,0.0
2545,true,-1.8611766749152423,3,733.3333333333333,81.81818181818183,0.0
2577,true,-1.8258503054629216,3,733.3333333333333,81.81818181818183,0.0
2613,true,-1.7802914872240478,3,733.3333333333333,81.81818181818183,0.0
2647,true,-1.782291857385502,3,733.3333333333333,81.81818181818183,0.0
2678,true,-1.8626830199141295,3,733.3333333333333,81.81818181818183,0.0
2710,true,-2.0031049098781466,3,733.3333333333333,81.81818181818183,0.0
2744,true,-2.1913937820332308,3,733.3333333333333,81.81818181818183,0.0
2777,true,-2.416085811399853,3,733.3333333333333,81.81818181818183,0.0
2814,true,-2.662768325330603,3,733.3333333333333,81.81818181818183,0.0
2847,true,-2.819481375570433,3,733.3333333333333,81.81818181818183,0.0
2876,true,-2.92699662449661,3,733.3333333333333,81.81818181818183,0.0
2912,true,-2.9821163619165247,3,733.3333333333333,81.81818181818183,0.0
2948,true,-3.021937386169583,3,733.3333333333333,81.81818181818183,0.0
2980,true,-2.9780639859766325,3,733.3333333333333,81.81818181818183,0.0
3011,true,-2.941211943669657,3,733.3333333333333,81.81818181818183,0.0
3053,true,-2.906873972344613,3,733.3333333333333,81.81818181818183,0.0
3081,true,-2.883129204583355,3,733.3333333333333,81.81818181818183,0.0
3113,true,-2.841872072579207,3,733.3333333333333,81.81818181818183,0.0
3146,true,-2.8011457678629768,3,733.3333333333333,81.81818181818183,0.0
3181,true,-2.751204787547067,3,733.3333333333333,81.81818181818183,0.0
3216,true,-2.6799070980155477,3,733.3333333333333,81.81818181818183,0.0
3249,true,-2.592319993712408,3,733.3333333333333,81.81818181818183,0.0
3279,true,-2.5497927843892967,3,733.3333333333333,81.81818181818183,0.0
3322,true,-2.499872807170334,3,733.3333333333333,81.81818181818183,0.0
3351,true,-2.4434937037024724,3,733.3333333333333,81.81818181818183,0.0
