Time(ms),Raw_R,Raw_G,Raw_B,Range,V1_Norm,Peak_Diff,Calculated_BPM
1779201056364,138.82,65.00,144.29,0.00,0.000,0,0.0
1779201056394,138.81,65.16,144.24,0.00,0.000,0,0.0
1779201056429,138.82,65.32,144.22,0.00,0.000,0,0.0
1779201056461,138.83,65.46,144.20,0.00,0.000,0,0.0
1779201056498,138.90,65.61,144.22,0.00,0.000,0,0.0
1779201056530,138.89,65.75,144.19,0.00,0.000,0,0.0
1779201056564,138.87,65.82,144.16,0.00,0.000,0,0.0
1779201056601,138.85,65.93,144.14,0.00,0.000,0,0.0
1779201056630,138.87,66.15,144.09,0.00,0.000,0,0.0
1779201056664,138.94,66.37,144.10,0.00,0.000,0,0.0
1779201056699,139.01,66.56,144.12,0.00,0.000,0,0.0
1779201056735,139.02,66.72,144.10,0.00,0.000,0,0.0
1779201056765,138.98,66.51,144.12,0.00,0.000,0,0.0
1779201056794,138.84,65.90,144.15,0.00,0.000,0,0.0
1779201056831,138.71,65.36,144.18,0.00,0.000,0,0.0
1779201056862,138.59,65.11,144.14,0.00,0.000,0,0.0
1779201056906,138.58,65.01,144.16,0.00,0.000,0,0.0
1779201056937,138.54,64.90,144.15,0.00,0.000,0,0.0
1779201056970,138.48,64.76,144.14,0.00,0.000,0,0.0
1779201056996,138.48,64.69,144.15,0.00,0.000,0,0.0
1779201057070,138.86,65.10,144.26,0.00,0.000,0,0.0
1779201057110,138.93,65.16,144.30,0.00,0.000,0,0.0
1779201057126,138.99,65.18,144.35,0.00,0.000,0,0.0
1779201057168,139.02,65.27,144.33,0.00,0.000,0,0.0
1779201057203,139.06,65.40,144.34,0.00,0.000,0,0.0
1779201057251,139.08,65.55,144.33,0.00,0.000,0,0.0
1779201057267,139.09,65.70,144.31,0.00,0.000,0,0.0
1779201057300,139.11,65.90,144.29,0.00,0.000,0,0.0
1779201057336,139.13,66.03,144.27,0.00,0.000,0,0.0
1779201057367,139.13,66.15,144.25,0.00,0.000,0,0.0
1779201057402,139.18,66.31,144.23,0.00,0.000,0,0.0
1779201057442,139.20,66.45,144.23,0.00,0.000,0,0.0
1779201057470,139.22,66.56,144.23,0.00,0.000,0,0.0
1779201057500,139.24,66.71,144.21,0.00,0.000,0,0.0
1779201057535,139.27,66.84,144.23,0.00,0.000,0,0.0
1779201057575,139.29,67.02,144.21,0.00,0.000,0,0.0
1779201057604,139.31,67.17,144.21,0.00,0.000,0,0.0
1779201057630,139.28,67.32,144.19,0.00,0.000,0,0.0
1779201057665,139.24,67.42,144.17,0.00,0.000,0,0.0
1779201057692,139.17,67.23,144.15,0.00,0.000,0,0.0
1779201057737,139.01,66.66,144.14,0.00,0.000,0,0.0
1779201057768,138.88,66.04,144.17,0.00,0.000,0,0.0
1779201057801,138.78,65.62,144.19,0.00,0.000,0,0.0
1779201057843,138.73,65.52,144.15,0.00,0.000,0,0.0
1779201057867,138.70,65.46,144.15,0.00,0.000,0,0.0
1779201057904,138.67,65.31,144.17,0.00,0.000,0,0.0
1779201057935,138.64,65.13,144.19,0.00,0.000,0,0.0
1779201058002,138.60,65.13,144.16,0.00,0.000,0,0.0
1779201058033,138.69,65.08,144.22,0.00,0.000,0,0.0
1779201058067,138.70,65.03,144.23,0.00,0.000,0,0.0
1779201058111,138.73,65.12,144.24,0.00,0.000,0,0.0
1779201058133,138.79,65.27,144.23,0.00,0.000,0,0.0
1779201058169,138.84,65.48,144.22,0.00,0.000,0,0.0
1779201058215,138.91,65.68,144.23,0.00,0.000,0,0.0
1779201058235,138.97,65.89,144.22,0.00,0.000,0,0.0
1779201058261,139.06,66.08,144.25,0.00,0.000,0,0.0
1779201058298,139.09,66.26,144.24,0.00,0.000,0,0.0
1779201058333,139.11,66.39,144.23,0.00,0.000,0,0.0
1779201058368,139.11,66.53,144.20,0.00,0.000,0,0.0
1779201058399,139.14,66.66,144.20,0.00,0.000,0,0.0
1779201058442,139.19,66.81,144.21,0.00,0.000,0,0.0
1779201058458,139.21,67.04,144.18,0.00,0.000,0,0.0
1779201058506,139.27,67.26,144.20,0.00,0.000,0,0.0
1779201058540,139.32,67.45,144.19,0.00,0.000,0,0.0
1779201058566,139.30,67.49,144.22,0.00,0.000,0,0.0
1779201058601,139.18,67.22,144.19,0.00,0.000,0,0.0
1779201058634,139.03,66.58,144.21,0.00,0.000,0,0.0
1779201058666,138.92,66.03,144.23,0.00,0.000,0,0.0
1779201058698,138.84,65.78,144.21,0.00,0.000,0,0.0
1779201058730,138.85,65.74,144.21,0.00,0.000,0,0.0
1779201058769,138.82,65.67,144.22,0.00,0.000,0,0.0
1779201058799,138.76,65.51,144.21,0.00,0.000,0,0.0
1779201058827,138.74,65.48,144.19,0.00,0.000,0,0.0
1779201058873,138.75,65.50,144.20,0.00,0.000,0,0.0
1779201058899,138.78,65.52,144.18,0.00,0.000,0,0.0
1779201058932,138.77,65.47,144.20,0.00,0.000,0,0.0
1779201058964,138.76,65.49,144.17,0.00,0.000,0,0.0
1779201058993,138.78,65.54,144.17,0.00,0.000,0,0.0
1779201059037,138.82,65.63,144.17,0.00,0.000,0,0.0
1779201059068,138.88,65.80,144.20,0.00,0.000,0,0.0
1779201059099,138.89,65.97,144.16,0.00,0.000,0,0.0
1779201059130,138.91,66.09,144.15,0.00,0.000,0,0.0
1779201059167,138.92,66.23,144.13,0.00,0.000,0,0.0
1779201059209,138.94,66.36,144.12,0.00,0.000,0,0.0
1779201059224,138.96,66.50,144.13,0.00,0.000,0,0.0
1779201059280,138.97,66.64,144.11,0.00,0.000,0,0.0
1779201059300,138.99,66.79,144.12,0.00,0.000,0,0.0
1779201059330,138.99,66.87,144.11,0.00,0.000,0,0.0
1779201059360,138.96,66.96,144.07,0.00,0.000,0,0.0
1779201059400,139.02,67.13,144.08,0.00,0.000,0,0.0
1779201059434,139.01,67.21,144.07,0.00,0.000,0,0.0
1779201059469,138.94,66.94,144.08,0.00,0.000,0,0.0
1779201059501,138.78,66.24,144.09,0.00,0.000,0,0.0
1779201059537,138.62,65.60,144.11,0.00,0.000,0,0.0
1779201059568,138.53,65.22,144.12,0.00,0.000,0,0.0
1779201059597,138.48,65.10,144.10,0.00,0.000,0,0.0
1779201059633,138.47,64.97,144.11,0.00,0.000,0,0.0
1779201059665,138.42,64.82,144.12,0.00,0.000,0,0.0
1779201059698,138.42,64.74,144.13,0.00,0.000,0,0.0
1779201059738,138.43,64.76,144.12,0.00,0.000,0,0.0
1779201059764,138.47,64.76,144.15,0.00,0.000,0,0.0
1779201059796,138.42,64.74,144.12,0.00,0.000,0,0.0
1779201059834,138.41,64.73,144.12,0.00,0.000,0,0.0
1779201059865,138.44,64.79,144.11,0.00,0.000,0,0.0
1779201059899,138.48,64.90,144.13,0.00,0.000,0,0.0
1779201059944,138.53,65.10,144.10,0.00,0.000,0,0.0
1779201059971,138.57,65.26,144.11,0.00,0.000,0,0.0
1779201059998,138.60,65.51,144.07,0.00,0.000,0,0.0
1779201060028,138.66,65.70,144.09,0.00,0.000,0,0.0
1779201060059,138.72,65.87,144.10,0.00,0.000,0,0.0
1779201060097,138.78,66.01,144.12,0.00,0.000,0,0.0
1779201060136,138.82,66.18,144.10,0.00,0.000,0,0.0
1779201060164,138.85,66.37,144.09,0.00,0.000,0,0.0
1779201060199,138.87,66.55,144.08,0.00,0.000,0,0.0
