Time(ms),Raw_R,Raw_G,Raw_B,StdDev,V1_Norm,Peak_Diff,Calculated_BPM
1779237951625,122.39,31.10,128.75,0.31,0.004,0,0.0
1779237951649,122.31,31.06,128.74,0.32,0.003,0,0.0
1779237951683,122.20,31.05,128.75,0.32,0.002,0,0.0
1779237951717,122.00,31.03,128.76,0.34,0.002,0,0.0
1779237951750,121.75,30.99,128.77,0.38,0.001,0,0.0
1779237951790,121.67,30.98,128.76,0.42,0.000,0,0.0
1779237951817,122.37,31.20,128.75,0.41,0.000,0,0.0
1779237951850,122.29,31.56,128.73,0.42,0.002,0,0.0
1779237951886,122.40,31.09,128.78,0.42,0.003,0,0.0
1779237951919,122.39,31.68,128.75,0.42,0.004,0,0.0
1779237951957,122.45,31.70,128.76,0.42,0.004,0,0.0
1779237951989,122.49,31.42,128.76,0.42,0.005,0,0.0
1779237952022,122.66,31.54,128.76,0.42,0.005,0,0.0
1779237952056,122.73,31.65,128.77,0.42,0.006,0,0.0
1779237952091,122.79,31.76,128.78,0.42,0.006,0,0.0
1779237952126,122.87,31.86,128.79,0.42,0.007,0,0.0
1779237952152,122.92,31.95,128.78,0.41,0.007,0,0.0
1779237952187,122.97,32.03,128.81,0.40,0.007,0,0.0
1779237952221,122.98,32.09,128.80,0.39,0.008,0,0.0
1779237952254,123.02,32.15,128.82,0.37,0.008,0,0.0
1779237952292,123.20,32.28,128.83,0.39,0.007,0,0.0
1779237952323,123.26,32.42,128.83,0.40,0.008,0,0.0
1779237952353,123.28,32.55,128.83,0.42,0.008,0,0.0
1779237952384,123.37,32.69,128.83,0.44,0.008,0,0.0
1779237952423,122.59,32.01,128.83,0.44,0.007,0,0.0
1779237952460,122.49,31.73,128.84,0.43,0.004,0,0.0
1779237952491,122.14,31.32,128.82,0.44,0.004,0,0.0
1779237952525,121.95,31.12,128.79,0.45,0.002,0,0.0
1779237952553,121.90,31.08,128.78,0.46,0.001,0,0.0
1779237952584,121.74,31.02,128.78,0.48,0.000,0,0.0
1779237952619,121.74,31.03,128.78,0.50,0.000,0,0.0
1779237952651,121.66,31.13,128.80,0.52,0.000,0,0.0
1779237952689,122.34,31.46,128.77,0.52,0.001,0,0.0
1779237952720,122.39,31.08,128.78,0.51,0.002,0,0.0
1779237952753,122.43,31.10,128.78,0.49,0.005,0,0.0
1779237952787,122.45,31.68,128.77,0.47,0.005,0,0.0
